id,problem,solution
1,"[[2,null,8,null,null,null,null,6,null],[7,1,null,null,null,null,null,null,null],[6,9,null,null,5,null,null,null,8],[null,null,null,null,null,1,2,null,null],[null,null,4,9,6,null,null,null,null],[null,2,null,null,3,null,null,null,null],[null,3,null,null,null,9,8,null,null],[null,null,null,null,2,null,4,null,9],[null,5,null,4,null,null,null,1,7]]","[[2,4,8,3,1,7,9,6,5],[7,1,5,8,9,6,3,2,4],[6,9,3,2,5,4,1,7,8],[5,8,6,7,4,1,2,9,3],[3,7,4,9,6,2,5,8,1],[1,2,9,5,3,8,7,4,6],[4,3,1,6,7,9,8,5,2],[8,6,7,1,2,5,4,3,9],[9,5,2,4,8,3,6,1,7]]"
2,"[[2,null,8,3,null,null,null,null,5],[7,1,5,8,null,null,null,null,null],[null,null,3,null,null,4,1,null,null],[5,null,null,null,4,null,null,9,null],[3,null,null,null,null,null,null,null,null],[null,null,null,null,null,8,7,null,null],[null,null,1,null,null,9,8,null,null],[null,null,null,null,null,3,null,null,null],[null,6,null,null,null,null,4,null,7]]","[[2,4,8,3,1,7,9,6,5],[7,1,5,8,9,6,3,2,4],[6,9,3,2,5,4,1,7,8],[5,8,6,7,4,1,2,9,3],[3,7,4,9,6,2,5,8,1],[1,2,9,5,3,8,7,4,6],[4,3,1,6,7,9,8,5,2],[8,5,7,4,2,3,6,1,9],[9,6,2,1,8,5,4,3,7]]"
3,"[[null,null,null,3,null,null,9,null,5],[7,1,null,null,null,null,null,2,4],[null,null,3,null,null,null,1,null,null],[null,8,null,null,4,1,2,null,null],[null,null,null,null,6,null,5,null,null],[null,null,null,null,null,null,null,null,6],[null,null,null,null,null,9,null,null,null],[null,6,2,null,null,null,null,null,7],[8,null,7,null,null,3,null,null,null]]","[[2,4,8,3,1,7,9,6,5],[7,1,5,8,9,6,3,2,4],[6,9,3,2,5,4,1,7,8],[5,8,6,7,4,1,2,9,3],[3,7,4,9,6,2,5,8,1],[1,2,9,5,3,8,7,4,6],[4,3,1,6,7,9,8,5,2],[9,6,2,1,8,5,4,3,7],[8,5,7,4,2,3,6,1,9]]"
4,"[[null,null,null,null,null,null,null,null,null],[null,1,null,8,null,6,3,null,null],[null,null,null,null,null,null,1,7,null],[5,null,null,null,4,null,2,9,null],[3,null,4,null,null,null,5,null,null],[null,null,null,null,3,null,null,null,6],[null,3,null,null,null,null,null,null,null],[9,5,null,4,null,null,null,null,7],[8,6,7,1,null,null,null,null,null]]","[[2,4,8,3,1,7,9,6,5],[7,1,5,8,9,6,3,2,4],[6,9,3,2,5,4,1,7,8],[5,8,6,7,4,1,2,9,3],[3,7,4,9,6,2,5,8,1],[1,2,9,5,3,8,7,4,6],[4,3,1,6,7,9,8,5,2],[9,5,2,4,8,3,6,1,7],[8,6,7,1,2,5,4,3,9]]"
5,"[[2,null,null,null,null,null,null,null,null],[7,1,null,null,null,null,null,2,null],[null,9,3,null,5,null,null,null,null],[null,8,null,7,null,null,null,null,null],[null,7,null,9,6,null,5,null,1],[null,null,null,null,null,null,7,null,6],[4,null,null,null,null,9,null,null,null],[null,5,2,null,null,null,null,null,null],[null,null,null,null,8,5,4,3,null]]","[[2,4,8,3,1,7,9,6,5],[7,1,5,8,9,6,3,2,4],[6,9,3,2,5,4,1,7,8],[5,8,6,7,4,1,2,9,3],[3,7,4,9,6,2,5,8,1],[1,2,9,5,3,8,7,4,6],[4,3,1,6,2,9,8,5,7],[8,5,2,4,7,3,6,1,9],[9,6,7,1,8,5,4,3,2]]"
6,"[[null,null,null,null,null,7,9,null,null],[null,null,5,8,null,null,null,null,4],[6,null,null,2,null,null,null,null,8],[5,null,null,null,null,null,null,null,3],[null,7,null,9,6,null,null,null,1],[null,2,null,null,null,null,null,4,null],[null,3,null,null,null,null,8,null,null],[8,null,null,null,7,5,null,null,null],[null,null,null,null,8,null,6,null,2]]","[[2,4,8,3,1,7,9,6,5],[7,1,5,8,9,6,3,2,4],[6,9,3,2,5,4,1,7,8],[5,8,6,7,4,1,2,9,3],[3,7,4,9,6,2,5,8,1],[1,2,9,5,3,8,7,4,6],[4,3,1,6,2,9,8,5,7],[8,6,2,1,7,5,4,3,9],[9,5,7,4,8,3,6,1,2]]"
7,"[[2,4,null,null,null,null,null,null,null],[null,1,null,8,9,null,null,null,null],[null,9,null,null,5,null,null,7,null],[null,8,null,7,null,null,null,null,null],[3,null,4,9,null,null,null,null,1],[null,null,null,null,null,null,null,4,null],[null,null,null,6,null,null,8,null,null],[null,null,7,null,null,5,null,3,2],[null,null,2,null,null,null,null,null,9]]","[[2,4,8,3,1,7,9,6,5],[7,1,5,8,9,6,3,2,4],[6,9,3,2,5,4,1,7,8],[5,8,6,7,4,1,2,9,3],[3,7,4,9,6,2,5,8,1],[1,2,9,5,3,8,7,4,6],[4,3,1,6,2,9,8,5,7],[9,6,7,1,8,5,4,3,2],[8,5,2,4,7,3,6,1,9]]"
8,"[[null,null,8,3,null,7,null,6,null],[null,1,5,8,null,null,null,null,4],[null,null,null,null,null,null,1,7,null],[null,null,6,null,null,null,null,null,3],[null,null,4,9,null,null,null,null,null],[1,null,null,null,null,8,7,null,null],[4,null,null,null,2,null,null,5,null],[null,5,null,null,null,3,6,null,null],[8,null,null,1,null,null,null,null,null]]","[[2,4,8,3,1,7,9,6,5],[7,1,5,8,9,6,3,2,4],[6,9,3,2,5,4,1,7,8],[5,8,6,7,4,1,2,9,3],[3,7,4,9,6,2,5,8,1],[1,2,9,5,3,8,7,4,6],[4,3,1,6,2,9,8,5,7],[9,5,7,4,8,3,6,1,2],[8,6,2,1,7,5,4,3,9]]"
9,"[[2,null,8,null,null,null,null,null,5],[null,null,null,null,9,null,null,null,null],[6,null,3,null,null,4,1,null,null],[null,8,null,7,4,null,2,null,null],[null,null,4,null,null,null,null,null,null],[null,2,null,null,null,8,7,null,6],[4,null,null,null,2,null,null,null,9],[null,6,null,1,null,3,null,null,null],[null,null,1,null,null,null,null,null,null]]","[[2,4,8,3,1,7,9,6,5],[7,1,5,8,9,6,3,2,4],[6,9,3,2,5,4,1,7,8],[5,8,6,7,4,1,2,9,3],[3,7,4,9,6,2,5,8,1],[1,2,9,5,3,8,7,4,6],[4,3,7,6,2,5,8,1,9],[9,6,2,1,8,3,4,5,7],[8,5,1,4,7,9,6,3,2]]"
10,"[[null,null,null,null,null,null,null,6,null],[null,1,null,8,null,null,null,null,null],[null,null,3,2,5,null,null,7,8],[null,null,null,null,null,1,2,null,null],[3,null,null,9,6,2,null,null,null],[1,null,9,null,3,null,null,null,null],[null,null,7,null,2,null,null,null,9],[null,5,null,null,7,9,6,null,null],[null,6,null,null,null,null,null,5,null]]","[[2,4,8,3,1,7,9,6,5],[7,1,5,8,9,6,3,2,4],[6,9,3,2,5,4,1,7,8],[5,8,6,7,4,1,2,9,3],[3,7,4,9,6,2,5,8,1],[1,2,9,5,3,8,7,4,6],[4,3,7,6,2,5,8,1,9],[8,5,1,4,7,9,6,3,2],[9,6,2,1,8,3,4,5,7]]"
